country;happiness;income;lifeexp;sanitation;water;urbanpopulation;unemployment;literacy;inequality;murder;energy;childmortality;fertility;hiv;foodsupply;population
Ethiopia;4.573154926300049;0.007597778466538782;0.29811320754716997;0.0;0.00327332242225864;0.0;0.05343668670074332;0.18389261744966445;0.4849137931034483;0.060624138724247746;0.023533790380435078;0.43842729970326405;0.5090909090909091;0.14101774218031485;0.10869565217391286;0.07113819686068859
Finland;7.447925567626953;0.32147733650535704;0.9132075471698116;0.9935428325441241;1.0;0.1916354556803995;0.1639985770188545;0.7559381383133935;0.2262931034482758;0.017097600144468594;0.3160475314601954;0.0014836795252225476;0.09256198347107439;0.0004553856044574214;0.7826086956521738;0.0036794387248422844
France;6.3576250076293945;0.31142514889802897;0.9396226415094344;0.9860094705122687;1.0;0.19371618809821056;0.2697859911250913;0.7559381383133935;0.3469827586206897;0.004714577784083947;0.1957625153053244;0.012611275964391686;0.12231404958677686;0.028510710490834246;0.8423913043478259;0.04584652096565619
Gabon;4.661012649536133;0.13551186576978816;0.328301886792453;0.3639690055962118;0.795417348608838;0.21658951384515676;0.1795489468623322;0.8550335570469799;0.5517241379310345;0.060624138724247746;0.14290183556013442;0.35905044510385753;0.4314049586776859;0.00815229523273776;0.48913043478260865;0.0011431265941257583
Georgia;4.121940612792969;0.07042395101233907;0.6188679245283022;0.8374946190271202;0.8903436988543371;0.26133999167707034;0.1795489468623322;0.9986577181208053;0.4267241379310345;0.020967294632088795;0.060374447794684816;0.06824925816023739;0.1256198347107438;0.0008125507844240265;0.5326086956521738;0.0025863239192095277
Germany;7.037137508392334;0.3616860869346692;0.8867924528301887;0.9913904433921653;1.0;0.05888472742405326;0.13029639199385873;0.7559381383133935;0.32543103448275856;0.005565910571360392;0.2027746462919312;0.012611275964391686;0.0347107438016529;0.012974025162286927;0.8532608695652173;0.05813513185250809
Ghana;3.985916137695313;0.027702153681194875;0.30566037735849116;0.07770124838570813;0.6366612111292963;0.14481897627965046;0.1377857664438578;0.6201342281879194;0.5560344827586207;0.060624138724247746;0.014795596381740411;0.43620178041543023;0.4628099173553719;0.04101149178966542;0.5923913043478259;0.019483163888630892
Greece;5.622519016265869;0.1966626737143671;0.8943396226415095;0.9892380542402065;1.0;0.2634207240948814;0.8380422775187704;0.966442953020134;0.4181034482758621;0.008739060051208959;0.11431391692242966;0.011869436201780409;0.011570247933884309;0.0019019045833221716;0.7989130434782608;0.0077661162988418705
Guatemala;6.464986801147461;0.0558482789817134;0.5735849056603777;0.6491605682307362;0.895253682487725;0.1344153141905951;0.019266415772622583;0.6791946308724833;0.6831896551724137;0.060624138724247746;0.041495633599974116;0.2025222551928783;0.29586776859504127;0.011545364442420507;0.2663043478260869;0.011409832317617724
Guinea;3.5046935081481934;0.004665890414401435;0.10188679245283039;0.1605682307361171;0.46644844517184947;0.10736579275905117;0.1795489468623322;0.0;0.3685344827586208;0.060624138724247746;0.1280948947662362;0.6661721068249258;0.6099173553719007;0.015117016242086558;0.34782608695652173;0.008409125008037609
Haiti;3.5697624683380127;0.008602997227271585;0.24905660377358485;0.25204476969436074;0.4140752864157119;0.19683728672492717;0.1795489468623322;0.31409395973154364;0.5280172413793104;0.060624138724247746;0.017924085591149615;0.4948071216617211;0.2859504132231405;0.021367406891502145;0.08695652173913038;0.007408889238177571
Honduras;4.8454365730285645;0.03088534642351542;0.5735849056603777;0.7826086956521738;0.872340425531915;0.10320432792342907;0.03621112546574548;0.8026845637583891;0.7112068965517242;0.060624138724247746;0.029521071453614753;0.12759643916913943;0.2099173553719008;0.005830721562954827;0.38586956521739113;0.006165739067065809
Hungary;5.344383239746094;0.20252644981864182;0.6943396226415097;0.9784761084804133;1.0;0.1437786100707449;0.19114755940010114;0.989261744966443;0.2974137931034482;0.012195987126816339;0.12779878420436586;0.02373887240356083;0.019834710743801665;0.0006696847124373844;0.6032608695652173;0.006751591446555259
Iceland;7.49807071685791;0.35247158162795184;0.9396226415094344;0.9870856650882479;1.0;0.21658951384515676;0.05259413207511843;0.7559381383133935;0.2413793103448275;0.008635868198205754;0.9406665839594808;0.0;0.11735537190082643;4.464564749582562e-05;0.7880434782608694;0.0
India;4.342079162597656;0.042947971552309075;0.41132075471698126;0.39948342660353;0.7970540098199673;0.11256762380357885;0.1795489468623322;0.5033557046979865;0.3987068965517241;0.060624138724247746;0.031085316058319358;0.31899109792284863;0.18347107438016533;0.4285357120534319;0.2880434782608694;0.9356991290804261
Indonesia;5.042799949645996;0.08190019853070525;0.5320754716981138;0.6545415411106328;0.8281505728314239;0.0959217644610903;0.11625381490011048;0.9060402684563759;0.49353448275862066;0.060624138724247746;0.044408364932872334;0.18620178041543026;0.19008264462809918;0.06779888028716081;0.4619565217391304;0.1840933934427401
Iran;4.749955654144287;0.1288104073649028;0.6981132075471699;0.8740852346104175;0.916530278232406;0.2270079067831877;0.19582841843135051;0.8013422818791945;0.47844827586206884;0.060624138724247746;0.15962307098973533;0.10014836795252224;0.0743801652892562;0.017081424731902887;0.6304347826086956;0.05649188737345231
Iraq;4.493377208709717;0.11959590205818543;0.388679245283019;0.8461041756349548;0.7725040916530278;0.21764461090303786;0.1795489468623322;0.7140939597315435;0.2780172413793103;0.060624138724247746;0.07278052569406612;0.22255192878338279;0.5272727272727272;0.04576739706208025;0.3369565217391304;0.025556023919923985
Ireland;6.830125331878662;0.5049297603390939;0.8981132075471696;0.9160568230736117;0.9819967266775779;0.21660424469413234;0.30910520698758637;0.7559381383133935;0.3275862068965517;0.0060560718731256175;0.14883517716418637;0.011127596439169139;0.12396694214876033;0.0013304402953756038;0.9076086956521738;0.0031221645102059775
Israel;7.079411029815674;0.26283957546261005;0.9320754716981132;0.9999999999999999;1.0;0.5557636287973367;0.047445187140744076;0.8926174496644296;0.5344827586206896;0.020967294632088795;0.14667759839907657;0.011869436201780409;0.2909090909090909;0.0014554481083639157;0.9130434782608694;0.0055227303578700695
Italy;5.847683906555176;0.2812685860760448;0.9433962264150946;0.9924666379681445;1.0;0.15106117353308363;0.3381265329813328;0.989261744966443;0.4051724137931034;0.00631405150563363;0.1304957576607531;0.008902077151335307;0.036363636363636376;0.02672488459100122;0.8967391304347825;0.042274250359013194
Cote d'Ivoire;4.445038795471191;0.022005914037042315;0.07169811320754738;0.24558760223848472;0.5597381342062192;0.16354556803995007;0.1795489468623322;0.4241610738255033;0.5366379310344828;0.060624138724247746;0.029952587206636717;0.6891691394658753;0.6165289256198346;0.06422722848749476;0.47282608695652173;0.0162681203426522
Japan;5.879684448242188;0.31142514889802897;1.0;0.9999999999999999;0.9819967266775779;0.6244277985851019;0.07730906776011535;0.7559381383133935;0.33405172413793105;0.00172201404699099;0.18173825333211074;0.0059347181008902045;0.03305785123966942;0.0013482985543739339;0.4347826086956521;0.09121435767002221
Jordan;5.404593467712402;0.06590046658904145;0.7358490566037736;0.964485578992682;0.9770867430441897;0.16250520183104453;0.1795489468623322;0.9476510067114093;0.3685344827586208;0.02406305022218496;0.046835641043620854;0.11795252225519287;0.3652892561983472;0.04576739706208025;0.6358695652173911;0.006308629891331528
